University,Canton
Kantonsspital St. Gallen - KSPSG,NotFound
Schweiz. Hochschule für Logopädie Rorschach - SHLR,NotFound
Universität Zürich - ZH,ZH
Weitere Institute - FINST,NotFound
Inst. de Hautes Etudes Internat. et du Dév - IHEID,NotFound
Pädag. Hochschule Tessin (Teilschule SUPSI) - ASP,NotFound
Haute école pédagogique du canton de Vaud - HEPL,NotFound
Hochschule Luzern - HSLU,LU
Eidg. Hochschulinstitut für Berufsbildung - EHB,NotFound
Université de Neuchâtel - NE,NE
Universität Luzern - LU,LU
Centre de rech. sur l'environnement alpin - CREALP,NotFound
Pädagogische Hochschule Thurgau - PHTG,TG
Inst. Suisse de Spéléologie et Karstologie - ISSKA,NotFound
Università della Svizzera italiana - USI,TI
Schweizer Kompetenzzentrum Sozialwissensch. - FORS,NotFound
AO Research Institute - AORI,NotFound
EPF Lausanne - EPFL,NotFound
Weitere Spitäler - ASPIT,NotFound
Fernfachhochschule Schweiz (Mitglied SUPSI) - FFHS,NotFound
Staatsunabh. Theologische Hochschule Basel - STHB,NotFound
Pädagogische Hochschule Schaffhausen - PHSH,NotFound
Allergie- und Asthmaforschung - SIAF,NotFound
Berner Fachhochschule - BFH,BE
Université de Fribourg - FR,FR
Forschungskommission SAGW,NotFound
"Eidg. Forschungsanstalt für Wald,Schnee,Land - WSL",NotFound
Eidg. Material und Prüfungsanstalt - EMPA,NotFound
Firmen/Privatwirtschaft - FP,NotFound
Nicht zuteilbar - NA,NotFound
Zürcher Fachhochschule (ohne PH) - ZFH,NotFound
Forschungsanstalten Agroscope - AGS,NotFound
Friedrich Miescher Institute - FMI,NotFound
"NPO (Biblioth., Museen, Verwalt.) - NPO",NotFound
Franklin University Switzerland - FUS,NotFound
ETH Zürich - ETHZ,ZH
Pädagogische Hochschule Nordwestschweiz - PHFHNW,NotFound
Instituto Ricerche Solari Locarno - IRSOL,NotFound
Pädagogische Hochschule St. Gallen - PHSG,NotFound
Institut für Kulturforschung Graubünden - IKG,NotFound
HES de Suisse occidentale - HES-SO,NotFound
Swiss Center for Electronics and Microtech. - CSEM,NotFound
"Haute école pédagogique BE, JU, NE - HEPBEJUNE",NotFound
Université de Lausanne - LA,VD
Eidg. Anstalt für Wasserversorgung - EAWAG,NotFound
Ente Ospedaliero Cantonale - EOC,NotFound
Physikal.-Meteorolog. Observatorium Davos - PMOD,NotFound
Universität Basel - BS,BS
Istituto Svizzero di Roma - ISR,NotFound
Paul Scherrer Institut - PSI,NotFound
Forschungsinstitut für biologischen Landbau - FIBL,AG
Pädagogische Hochschule Schwyz - PHSZ,NotFound
Pädagogische Hochschule Graubünden - PHGR,NotFound
Fachhochschule Kalaidos - FHKD,NotFound
Fachhochschule Ostschweiz - FHO,NotFound
Robert Walser-Stiftung Bern - RWS,NotFound
Pädagogische Hochschule Wallis - PHVS,NotFound
Idiap Research Institute - IDIAP,VS
Pädagogische Hochschule Luzern - PHLU,NotFound
Facoltà di Teologia di Lugano - FTL,NotFound
Interkant. Hochschule für Heilpädagogik ZH - HfH,NotFound
Pädagogische Hochschule Zürich - PHZFH,NotFound
Schweiz. Institut für Kunstwissenschaft - SIK-ISEA,NotFound
Haute école pédagogique fribourgeoise - HEPFR,NotFound
Universität St. Gallen - SG,SG
Inst. universit. romand de Santé au Travail - IST,NotFound
SUP della Svizzera italiana - SUPSI,NotFound
Fachhochschule Nordwestschweiz (ohne PH) - FHNW,NotFound
Schweizer Paraplegiker Forschung - SPF,NotFound
Biotechnologie Institut Thurgau - BITG,NotFound
Universität Bern - BE,BE
Université de Genève - GE,GE
Institut Universitaire Kurt Bösch - IUKB,NotFound
Pädagogische Hochschule Bern - PHBern,BE
Swiss Institute of Bioinformatics - SIB,NotFound
Forschungsinstitut für Opthalmologie - IRO,NotFound
Pädagogische Hochschule Zug - PHZG,NotFound
