University,Canton
Pädagogische Hochschule Schwyz - PHSZ,SZ
Pädagogische Hochschule Schaffhausen - PHSH,SH
Haute école pédagogique du canton de Vaud - HEPL,NotFound
Instituto Ricerche Solari Locarno - IRSOL,NotFound
Pädagogische Hochschule Wallis - PHVS,VS
Kantonsspital St. Gallen - KSPSG,SG
Pädagogische Hochschule Luzern - PHLU,LU
Weitere Institute - FINST,NotFound
Fachhochschule Nordwestschweiz (ohne PH) - FHNW,NotFound
Pädagogische Hochschule Zug - PHZG,ZG
Inst. Suisse de Spéléologie et Karstologie - ISSKA,NotFound
Allergie- und Asthmaforschung - SIAF,NotFound
Istituto Svizzero di Roma - ISR,NotFound
Fachhochschule Kalaidos - FHKD,NotFound
"NPO (Biblioth., Museen, Verwalt.) - NPO",NotFound
Université de Lausanne - LA,VD
Friedrich Miescher Institute - FMI,NotFound
Institut Universitaire Kurt Bösch - IUKB,NotFound
Pädagogische Hochschule St. Gallen - PHSG,SG
Haute école pédagogique fribourgeoise - HEPFR,NotFound
Eidg. Material und Prüfungsanstalt - EMPA,NotFound
Pädagogische Hochschule Graubünden - PHGR,GR
Inst. de Hautes Etudes Internat. et du Dév - IHEID,NotFound
Forschungsinstitut für Opthalmologie - IRO,NotFound
Universität Basel - BS,BS
Université de Fribourg - FR,FR
HES de Suisse occidentale - HES-SO,SO
"Eidg. Forschungsanstalt für Wald,Schnee,Land - WSL",NotFound
EPF Lausanne - EPFL,VD
AO Research Institute - AORI,NotFound
Berner Fachhochschule - BFH,NotFound
Weitere Spitäler - ASPIT,NotFound
Università della Svizzera italiana - USI,NotFound
Zürcher Fachhochschule (ohne PH) - ZFH,NotFound
Franklin University Switzerland - FUS,NotFound
Schweizer Paraplegiker Forschung - SPF,NotFound
Swiss Center for Electronics and Microtech. - CSEM,NotFound
Robert Walser-Stiftung Bern - RWS,NotFound
Inst. universit. romand de Santé au Travail - IST,NotFound
Schweizer Kompetenzzentrum Sozialwissensch. - FORS,NotFound
Pädagogische Hochschule Nordwestschweiz - PHFHNW,NotFound
Fachhochschule Ostschweiz - FHO,NotFound
Université de Neuchâtel - NE,NotFound
Universität Luzern - LU,LU
SUP della Svizzera italiana - SUPSI,NotFound
Forschungsinstitut für biologischen Landbau - FIBL,NotFound
Fernfachhochschule Schweiz (Mitglied SUPSI) - FFHS,NotFound
Universität Zürich - ZH,ZH
Pädagogische Hochschule Thurgau - PHTG,TG
Firmen/Privatwirtschaft - FP,NotFound
Schweiz. Hochschule für Logopädie Rorschach - SHLR,
Universität Bern - BE,BE
Staatsunabh. Theologische Hochschule Basel - STHB,BS
Forschungsanstalten Agroscope - AGS,NotFound
Ente Ospedaliero Cantonale - EOC,NotFound
Biotechnologie Institut Thurgau - BITG,NotFound
Facoltà di Teologia di Lugano - FTL,NotFound
Schweiz. Institut für Kunstwissenschaft - SIK-ISEA,NotFound
Interkant. Hochschule für Heilpädagogik ZH - HfH,NotFound
Forschungskommission SAGW,NotFound
Swiss Institute of Bioinformatics - SIB,NotFound
Idiap Research Institute - IDIAP,NotFound
Université de Genève - GE,GE
Physikal.-Meteorolog. Observatorium Davos - PMOD,NotFound
Nicht zuteilbar - NA,NotFound
Eidg. Hochschulinstitut für Berufsbildung - EHB,NotFound
Paul Scherrer Institut - PSI,NotFound
Hochschule Luzern - HSLU,LU
Pädag. Hochschule Tessin (Teilschule SUPSI) - ASP,TI
Pädagogische Hochschule Zürich - PHZFH,ZH
Eidg. Anstalt für Wasserversorgung - EAWAG,NotFound
Institut für Kulturforschung Graubünden - IKG,NotFound
ETH Zürich - ETHZ,NotFound
"Haute école pédagogique BE, JU, NE - HEPBEJUNE",NotFound
Pädagogische Hochschule Bern - PHBern,BE
Universität St. Gallen - SG,SG
Centre de rech. sur l'environnement alpin - CREALP,NotFound
